,SEC,,1 H NMR,,,LCCC-NMR,
sample no.,M p (kg/mol),"1,2-PI (mol %)","1,4-PI (mol %)","3,4-PI (mol %)","1,2-PI (mol %)","1,4-PI (mol %)","3,4-PI (mol %)"
1,1.0,,93.2,6.8,,94.0,6.0
2,4.5,,93.9,6.1,,94.4,5.6
3,9.9,,94.2,5.8,,94.6,5.4
4,21.6,,94.2,5.8,,94.5,5.5
5,47.5,,94.2,5.8,,95.1,4.9
6,1.1,24.9,10.6,64.5,25.3,14.9,59.8
7,8.5,26.4,12.0,61.6,28.5,13.4,58.1
8,34.8,28.2,13.4,58.4,30.1,16.4,53.5
9,43.7,30.3,14.8,54.9,31.3,17.3,51.4
10,79.2,34.6,15.6,49.8,34.5,18.7,46.8
